transcript_ID,CAGE_support
TALONT000233136,no
TALONT000233157,no
TALONT000858905,no
TALONT000858943,no
TALONT000858947,no
TALONT000858996,no
TALONT000859067,no
TALONT000859149,no
TALONT001657361,no
TALONT003706088,no
TALONT001657415,no
TALONT000859384,no
ENST00000416931.1_1,yes
ENST00000457540.1_1,yes
ENST00000414273.1_1,yes
TALONT003706494,yes
TALONT003706497,yes
TALONT002800017,yes
TALONT000233569,yes
TALONT000859495,no
TALONT000233591,yes
TALONT000233619,yes
TALONT000233633,yes
TALONT000233663,yes
ENST00000473798.1_1,yes
TALONT000859836,yes
TALONT000233854,yes
ENST00000327044.7_3,yes
TALONT000233858,yes
TALONT003707108,yes
ENST00000469563.1_2,yes
ENST00000338591.8_2,yes
ENST00000428771.6_3,yes
TALONT000861191,yes
TALONT003707405,yes
TALONT003707428,yes
ENST00000304952.10_3,yes
TALONT000861202,yes
ENST00000481869.1_2,yes
ENST00000484667.2_2,yes
ENST00000649529.1_2,yes
TALONT002800328,yes
ENST00000421241.6_3,yes
ENST00000360001.11_4,yes
TALONT000234391,yes
TALONT000234439,yes
TALONT003709867,yes
ENST00000494748.1_2,no
ENST00000478938.1_2,no
TALONT000234462,yes
ENST00000655486.1_2,yes
ENST00000379198.5_4,yes
TALONT000234490,yes
ENST00000347370.6_2,yes
TALONT000862676,yes
ENST00000349431.10_2,yes
ENST00000400929.6_2,yes
ENST00000360466.6_2,yes
ENST00000461142.3_2,yes
TALONT003710979,yes
TALONT000234720,yes
TALONT000234725,no
ENST00000354700.10_3,yes
ENST00000478065.5_2,yes
ENST00000479108.5_2,yes
ENST00000379031.10_2,yes
TALONT000864260,yes
TALONT000864280,yes
ENST00000435064.5_2,yes
TALONT000235365,yes
TALONT000235408,yes
TALONT000235534,yes
TALONT000865658,no
TALONT003712193,yes
ENST00000429572.5_2,yes
ENST00000498173.2_2,yes
ENST00000464957.1_1,yes
ENST00000343938.9_2,yes
TALONT002255949,yes
ENST00000342753.8_2,no
TALONT000235724,yes
ENST00000309212.10_2,yes
TALONT000235747,yes
ENST00000338370.7_2,yes
ENST00000338338.9_2,yes
ENST00000321751.9_2,yes
ENST00000378853.3_2,yes
TALONT000867327,yes
ENST00000400809.8_3,yes
TALONT000235860,yes
TALONT000235883,yes
TALONT000235892,no
TALONT000235970,yes
TALONT000236006,no
TALONT000236051,yes
TALONT000236073,yes
TALONT000236089,yes
TALONT000236185,yes
ENST00000463260.5_2,no
TALONT000236455,yes
ENST00000481223.6_2,yes
ENST00000418865.6_2,no
ENST00000488340.5_2,yes
TALONT000238299,no
TALONT000238303,yes
TALONT000238332,yes
TALONT000879393,yes
TALONT000879411,yes
TALONT000879420,yes
TALONT000238390,yes
TALONT003283796,yes
TALONT000879655,yes
TALONT000879660,yes
ENST00000408918.8_2,yes
TALONT001666054,yes
TALONT003721001,yes
TALONT000879982,yes
TALONT000880017,yes
