Gene	fit_value	Predicted_Proximal_APA	Loci	209_1_CP	209_1_VZ	209_2_CP	209_2_VZ	209_3_CP	209_3_VZ	209_4_CP	209_4_VZ	334_1_CP	334_1_VZ	334_2_CP	334_2_VZ	334_3_CP	334_3_VZ	334_4_CP	334_4_VZ	336_1_CP	336_1_VZ	336_2_CP	336_2_VZ	336_3_CP	336_3_VZ	336_4_CP	336_4_VZ
NM_001376549.1|SGIP1|chr1|+	34	67210766	chr1:67208756-67216822	0.26	0.38	0.28	0.4	0.24	0.13	0.2	0.23	0.22	0.16	0.34	0.18	0.31	0.17	0.33	0.23	0.19	0.27	0.35	NA	0.22	0.17	0.2	0.39
NM_001376556.1|SGIP1|chr1|+	195.8	67156024	chr1:67155873-67156213	0.03	0.26	0.07	0.31	0.05	0.12	0.04	0.22	0.04	0.16	0.08	0.29	0.09	0.23	0.04	0.39	0.02	0.46	0.13	NA	0.13	0.2	0.05	0.38
NM_001379618.1|SLC45A1|chr1|+	0.3	8403958	chr1:8403807-8404225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.96	1	1
NM_001145278.2|NECAP2|chr1|+	0.8	16785684	chr1:16785337-16786573	1	0.99	0.97	1	1	0.95	0.97	1	1	0.98	0.96	1	0.97	1	0.94	1	1	0.98	0.98	1	1	1	0.97	1
NM_013943.3|CLIC4|chr1|+	462.7	25167415	chr1:25167264-25170812	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001376727.1|AZIN2|chr1|+	0.6	33586122	chr1:33585645-33589093	0.19	0.06	0.09	NA	0.12	NA	0.11	0	0.03	0.07	0.12	0	0.26	0.06	0.13	0.02	0.08	0.05	0	0.05	0	0.04	0.13	0.03
NM_001301825.1|AZIN2|chr1|+	0.1	33585994	chr1:33585645-33586132	0.97	1	1	NA	1	NA	0.97	1	1	0.94	1	1	1	0.96	1	1	1	0.98	0.93	1	0.97	1	0.98	0.96
NM_001379461.1|DAB1|chr1|-	82.2	57463578	chr1:57460451-57463801	1	1	1	1	1	1	1	1	0.97	0.81	1	0.72	0.95	0.75	0.96	0.78	0.84	0.82	0.69	0.83	0.72	0.72	0.75	0.85
NM_001918.5|DBT|chr1|-	4.1	100659909	chr1:100652475-100661978	NA	NA	0.11	0.09	0.17	NA	0.12	0.16	0.14	0.21	0.14	0.3	0.12	0.2	0.08	0.18	NA	0.2	NA	NA	NA	NA	0.15	0.15
NM_001303229.2|PRUNE1|chr1|+	1.2	151006433	chr1:151006282-151008189	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_022457.7|COP1|chr1|-	1.2	175914150	chr1:175913967-175914306	1	1	1	1	1	1	1	0.99	1	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_030806.4|C1orf21|chr1|+	65.8	184591161	chr1:184588652-184598153	1	0.69	1	0.39	1	NA	1	0.54	0.89	0.4	0.57	0.22	0.55	0.25	0.6	0.22	0.66	0.25	0.51	0.05	0.5	0.2	0.4	0.14
NM_001366241.1|LIN9|chr1|-	0.7	226419572	chr1:226418850-226420307	0.92	0.98	0.97	0.87	0.89	0.84	0.86	1	0.91	0.77	0.64	0.83	0.78	0.75	0.78	0.63	0.8	0.69	NA	0.78	NA	0.74	0.9	0.71
NM_001366245.2|LIN9|chr1|-	0.7	226419572	chr1:226418858-226420307	0.92	0.99	0.97	0.87	0.89	0.84	0.86	1	0.91	0.77	0.64	0.83	0.78	0.75	0.78	0.63	0.8	0.69	NA	0.78	NA	0.74	0.9	0.71
NM_001330306.2|C1orf159|chr1|-	0.4	1017994	chr1:1017203-1018367	1	1	1	0.98	1	0.95	1	1	1	0.98	1	0.99	1	0.99	1	1	0.98	1	0.98	1	0.99	0.99	0.98	0.99
NM_199454.3|PRDM16|chr1|+	10.2	3352125	chr1:3350298-3355185	NA	0.35	0.26	0.36	NA	0.38	NA	0.23	NA	0.25	NA	0.29	NA	0.36	NA	0.24	NA	0.3	NA	0.5	NA	0.34	NA	0.35
NM_022114.4|PRDM16|chr1|+	10.6	3352125	chr1:3350241-3355185	NA	0.35	0.26	0.36	NA	0.38	NA	0.23	NA	0.25	NA	0.3	NA	0.36	NA	0.24	NA	0.3	NA	0.5	NA	0.34	NA	0.35
NM_012405.4|ICMT|chr1|-	41.7	6283551	chr1:6281359-6285322	0.07	0.04	0.05	0.07	0.07	0.1	0.05	0.03	0.05	0.08	0.05	0.05	0.06	0.04	0.05	0.07	0.07	0.06	0.05	0.05	0.08	0.05	0.05	0.06
NM_001349612.2|CAMTA1|chr1|+	23.6	7827903	chr1:7826519-7829766	0.25	0.15	0.24	0.27	0.16	0.26	0.28	0.37	0.08	0.24	0.2	0.19	0.23	0.15	0.26	0.45	0.1	0.22	0.07	0.18	0.19	0.06	0.17	0.14
NM_032409.3|PINK1|chr1|+	13.4	20977078	chr1:20976927-20978004	1	NA	0.95	NA	0.97	NA	1	NA	1	1	1	1	1	NA	1	1	1	1	1	NA	1	1	1	0.97
NM_032236.8|USP48|chr1|-	78.1	22005396	chr1:22004791-22005932	0.14	0.16	0.1	0.08	0.15	0.31	0.09	0.1	0.14	0.16	0.06	0.2	0.06	0.1	0.13	0.11	0.18	0.14	0	0.06	0.24	0.11	0.03	0.14
NM_004442.7|EPHB2|chr1|+	54.6	23240245	chr1:23239955-23247993	0.54	0.6	0.53	0.22	0.58	0.5	0.58	0.28	0.49	0.31	0.32	0.28	0.43	0.2	0.44	0.34	0.36	0.34	0.48	0.2	0.31	0.25	0.39	0.29
NM_001309193.2|EPHB2|chr1|+	60.3	23240302	chr1:23240151-23247993	0.66	0.82	0.64	0.33	0.71	0.65	0.74	0.36	0.6	0.41	0.42	0.35	0.58	0.25	0.56	0.43	0.49	0.43	0.58	0.28	0.39	0.33	0.51	0.4
NM_001145454.3|STMN1|chr1|-	0.2	26211190	chr1:26210670-26212360	0.99	NA	0.83	NA	0.91	NA	1	NA	0.95	NA	0.89	0.95	0.97	NA	1	0.92	NA	NA	NA	NA	NA	NA	NA	NA
NM_006600.4|NUDC|chr1|+	9.1	27272886	chr1:27272621-27273362	0.31	0.21	0.3	0.19	0.29	0.25	0.22	0.27	0.29	0.19	0.21	0.15	0.2	0.19	0.18	0.18	0.25	0.1	0.16	0.1	0.15	0.09	0.15	0.12
NM_001990.4|EYA3|chr1|-	2.4	28300581	chr1:28296855-28301057	0.37	0.14	0.22	0.39	0.19	0.25	0.38	0.16	0.63	0.38	0.56	0.4	0.42	0.38	0.36	0.31	0.26	0.25	NA	0.33	NA	0.13	0.1	0.22
NM_001166007.2|EPB41|chr1|+	29.5	29443482	chr1:29443331-29445941	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001166006.2|EPB41|chr1|+	0.5	29391670	chr1:29391494-29391733	0.1	0.03	0.11	0.07	0.11	0.04	0.11	0	0.02	0.06	0.01	0	0.04	0.02	0.04	0.07	0.15	0	0.05	0	0.09	0	0.12	0.04
NM_001020658.2|PUM1|chr1|-	1247.6	31405709	chr1:31404353-31406189	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.03	0.02	0.03	0.02
NM_001271878.2|KHDRBS1|chr1|+	38.6	32508515	chr1:32508128-32509478	0.77	0.77	0.82	0.68	0.8	0.79	0.72	0.79	0.66	0.61	0.65	0.52	0.64	0.6	0.68	0.57	0.53	0.76	0.5	0.69	0.46	0.72	0.51	0.75
NR_073499.2|KHDRBS1|chr1|+	0.3	32525915	chr1:32525764-32526451	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	1	1	1	1	1	1	0.97	0.97	1
NM_001281956.2|CSMD2|chr1|-	5.9	33982019	chr1:33979598-33982170	1	1	1	1	1	1	1	NA	1	1	1	1	1	NA	1	1	1	1	1	NA	1	1	1	1
NM_005066.3|SFPQ|chr1|-	277	35649209	chr1:35648537-35650194	0.35	0.57	0.35	0.59	0.4	0.59	0.32	0.54	0.24	0.2	0.18	0.26	0.15	0.25	0.17	0.26	0.13	0.23	0.11	0.3	0.07	0.25	0.11	0.28
NM_001321473.2|THRAP3|chr1|+	2.4	36770170	chr1:36769397-36770958	0.83	0.87	0.8	0.85	0.74	0.74	0.88	0.91	0.83	0.73	0.93	0.59	0.7	0.64	0.91	0.7	0.77	0.71	0.88	0.79	0.84	0.64	0.66	0.74
NM_012090.5|MACF1|chr1|+	168.6	39951705	chr1:39951210-39952810	0.65	0.57	0.64	0.55	0.62	0.58	0.65	0.61	0.61	0.5	0.66	0.52	0.62	0.59	0.73	0.57	0.61	0.67	0.62	0.72	0.65	0.61	0.58	0.66
NM_001329137.2|PTPRF|chr1|+	23.2	44088513	chr1:44087606-44089337	0.32	0.25	0.35	0.13	0.22	0.24	0.33	0.21	0.29	0.22	0.33	0.3	0.32	0.32	0.28	0.35	0.26	0.35	0.39	0.43	0.31	0.34	0.33	0.4
NM_001319956.1|RNF220|chr1|+	3.4	45116527	chr1:45116376-45117396	1	1	1	NA	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001376487.1|RNF220|chr1|+	3.4	45116527	chr1:45116376-45117395	1	1	1	NA	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_021639.5|GPBP1L1|chr1|-	20.9	46093498	chr1:46092976-46094080	0.99	0.99	0.98	0.98	0.98	0.95	0.97	0.98	0.99	0.97	0.98	0.96	0.97	0.96	0.99	0.97	0.98	0.97	0.97	0.97	0.97	0.97	0.95	0.97
NM_007051.3|FAF1|chr1|-	4.9	50905146	chr1:50902700-50907195	0.07	NA	0.14	NA	0.13	NA	0.28	0.2	0.13	0.02	0.16	0.09	0.05	0.28	0.37	0.21	0.02	0.01	NA	0.01	NA	0.01	0.43	NA
NM_002867.4|RAB3B|chr1|-	7.7	52383406	chr1:52373628-52385786	0.16	NA	0.15	NA	0.13	NA	0.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1	0.02	0.14	NA	0.12	NA	0.13	NA
NM_001193617.2|SCP2|chr1|+	3.2	53516921	chr1:53516281-53517370	0.91	0.85	0.95	0.97	0.94	0.93	0.93	0.94	0.92	0.93	0.9	0.89	0.89	0.92	0.91	0.9	0.87	0.93	0.88	0.94	0.94	0.91	0.89	0.95
NM_153035.3|TCEANC2|chr1|+	5.2	54565416	chr1:54561958-54571755	0.01	0.01	0.09	0	0.16	0.06	NA	0.04	0.22	0.08	0.07	0.05	0.1	0.1	0.05	0.07	0.06	0.04	NA	0.07	NA	NA	0	0.05
NM_015306.3|USP24|chr1|-	14.1	55533584	chr1:55532032-55534780	0.99	1	1	0.96	1	0.84	1	1	0.99	1	1	1	1	0.9	1	0.95	0.94	0.79	0.92	0.85	1	0.94	1	1
